year,week,revenue,orders,aov,revenue_wow_pct,orders_wow_pct
2024,33,596794.29,383,1558.209634464752,-14.089922943768041,-11.954022988505752
2024,34,673885.82,425,1585.613694117647,12.91760516006275,10.966057441253273
2024,35,732630.86,456,1606.6466228070176,8.717358083005822,7.294117647058829
2024,36,731627.42,462,1583.6091341991344,-0.13696392750913722,1.3157894736842035
2024,37,672069.18,447,1503.5104697986578,-8.14051501787617,-3.2467532467532423
2024,38,633318.96,412,1537.1819417475726,-5.765808216350599,-7.829977628635342
2024,39,721839.93,433,1667.0668129330256,13.97731247458629,5.0970873786407855
2024,40,685196.01,416,1647.1057932692308,-5.076460649662318,-3.9260969976905313
2024,41,700227.66,426,1643.7269014084509,2.193773720311065,2.4038461538461453
2024,42,677265.0,425,1593.5647058823529,-3.2793134735637275,-0.23474178403756207
2024,43,688702.51,415,1659.5241204819276,1.6887791337216518,-2.352941176470591
2024,44,732470.77,443,1653.4328893905192,6.355176489773506,6.746987951807237
2024,45,666615.26,429,1553.881724941725,-8.990872086267688,-3.160270880361171
2024,46,721158.45,420,1717.0439285714285,8.182109422457561,-2.0979020979020935
2024,47,677590.85,411,1648.6395377128954,-6.041335298782114,-2.1428571428571463
2024,48,731027.87,437,1672.8326544622425,7.886325501591407,6.326034063260333
2024,49,773279.16,495,1562.1801212121213,5.779709876177508,13.272311212814646
2024,50,723479.52,464,1559.2231034482759,-6.440059757979255,-6.2626262626262585
2024,51,723183.69,474,1525.703987341772,-0.04088989277817312,2.155172413793105
2024,52,690599.64,441,1565.9855782312925,-4.505639500802339,-6.9620253164556996
2025,1,853365.15,524,1628.5594465648855,23.56872210359102,18.82086167800454
2025,2,653618.43,428,1527.1458644859815,-23.406946018360365,-18.3206106870229
2025,3,645429.54,411,1570.3881751824817,-1.2528548192865419,-3.971962616822433
2025,4,701722.03,426,1647.2348122065728,8.721709576540304,3.649635036496357
2025,5,641904.45,406,1581.0454433497537,-8.524398186558301,-4.694835680751175
2025,6,683513.02,423,1615.8700236406619,6.4820504048538785,4.187192118226601
2025,7,680233.63,405,1679.5892098765432,-0.4797845694292757,-4.255319148936165
2025,8,734168.74,441,1664.781723356009,7.928909660053107,8.888888888888879
2025,9,753181.34,475,1585.6449263157895,2.5896771360763626,7.709750566893425
2025,10,693726.32,435,1594.7731494252873,-7.893851963990506,-8.421052631578952
2025,11,696694.59,431,1616.460765661253,0.4278733434821991,-0.919540229885063
2025,12,652572.69,407,1603.3727027027026,-6.333033244882813,-5.56844547563805
2025,13,670987.98,438,1531.9360273972602,2.821952294693797,7.6167076167076075
2025,14,747452.54,451,1657.3227050997784,11.395816658295432,2.9680365296803624
2025,15,667720.89,450,1483.8242,-10.667118744422222,-0.22172949002217113
2025,16,689759.77,452,1526.0171902654868,3.30061262573349,0.4444444444444473
2025,17,721395.05,421,1713.527434679335,4.586419993732016,-6.858407079646023
2025,18,675875.85,423,1597.8152482269502,-6.3098852702136,0.47505938242280443
2025,19,730418.35,453,1612.4025386313465,8.069899227794576,7.092198581560294
2025,20,675808.68,433,1560.7590762124712,-7.476492067867668,-4.415011037527594
2025,21,679429.74,435,1561.907448275862,0.5358114074533571,0.4618937644341736
2025,22,573938.95,381,1506.4014435695537,-15.526372160276647,-12.413793103448278
2025,23,667262.2,420,1588.7195238095237,16.260135333209224,10.236220472440948
2025,24,693276.38,427,1623.5980796252927,3.8986443410101934,1.6666666666666607
2025,25,685255.58,457,1499.4651641137855,-1.1569411898902482,7.025761124121788
2025,26,706859.18,430,1643.858558139535,3.152633941339089,-5.908096280087527
2025,27,637537.49,388,1643.1378608247423,-9.807001445464714,-9.76744186046512
2025,28,669483.79,433,1546.1519399538106,5.010889634113913,11.5979381443299
2025,29,745546.95,453,1645.7990066225163,11.36146403186251,4.618937644341803
2025,30,734179.8,423,1735.649645390071,-1.5246725910420422,-6.622516556291391
2025,31,747638.61,456,1639.5583552631579,1.8331762873345037,7.801418439716312
2025,32,766012.26,452,1694.717389380531,2.457557669473487,-0.8771929824561431
2025,33,766450.68,476,1610.1905042016808,0.05723407090116872,5.3097345132743445
2025,34,642753.12,396,1623.1139393939393,-16.139011058089224,-16.806722689075627
2025,35,586948.15,384,1528.5108072916667,-8.68217800327441,-3.0303030303030276
2025,36,693940.45,439,1580.7299544419134,18.228577771307375,14.322916666666675
2025,37,669325.99,435,1538.6804367816092,-3.5470565233659435,-0.9111617312072884
2025,38,655868.4,422,1554.1905213270143,-2.0106181742621354,-2.9885057471264354
2025,39,633643.01,427,1483.9414754098361,-3.388696573885863,1.1848341232227444
2025,40,692760.25,430,1611.0703488372094,9.329739153912552,0.7025761124121788
2025,41,647220.78,417,1552.088201438849,-6.57362630145133,-3.023255813953485
2025,42,711001.28,432,1645.8362962962963,9.854519813161744,3.597122302158273
2025,43,632354.01,416,1520.0817548076923,-11.061480789457933,-3.703703703703709
2025,44,635214.79,429,1480.6871561771563,0.45240165394064835,3.125
2025,45,724907.7,456,1589.7098684210525,14.120091567767169,6.2937062937062915
2025,46,714263.75,442,1615.981334841629,-1.4683179665493928,-3.0701754385964897
2025,47,686560.45,437,1571.0765446224254,-3.8785812663739483,-1.1312217194570096
2025,48,688520.53,418,1647.1783014354069,0.2854927049759537,-4.347826086956519
2025,49,763184.76,444,1718.8845945945945,10.844154494565327,6.2200956937799035
2025,50,672670.6,433,1553.511778290993,-11.860058631149817,-2.4774774774774744
2025,51,735860.93,444,1657.344436936937,9.393948538853936,2.5404157043879882
2025,52,687469.19,430,1598.7655581395347,-6.576207273295531,-3.1531531531531543
